<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ММК;W;19/03/18;000000;44,87;47292900
ММК;W;26/03/18;000000;44,135;33821600
ММК;W;02/04/18;000000;45,5;33759700
ММК;W;09/04/18;000000;44,24;51862100
ММК;W;16/04/18;000000;46,85;36034100
ММК;W;23/04/18;000000;47,08;47318600
ММК;W;30/04/18;000000;45,33;35359600
ММК;W;07/05/18;000000;45,55;27852600
ММК;W;14/05/18;000000;44,77;44657100
ММК;W;21/05/18;000000;47,41;50073600
ММК;W;28/05/18;000000;47,81;48925500
ММК;W;04/06/18;000000;48,845;34496500
ММК;W;11/06/18;000000;48,235;28419700
ММК;W;18/06/18;000000;44,705;45708200
ММК;W;25/06/18;000000;42,55;45938000
ММК;W;02/07/18;000000;44,445;38486000
ММК;W;09/07/18;000000;44,63;33316400
ММК;W;16/07/18;000000;42,915;32900300
ММК;W;23/07/18;000000;46,3;41086800
ММК;W;30/07/18;000000;47,015;39418400
ММК;W;06/08/18;000000;45,14;47103400
ММК;W;13/08/18;000000;45,855;41263000
ММК;W;20/08/18;000000;47,75;34214800
ММК;W;27/08/18;000000;48,445;36731900
ММК;W;03/09/18;000000;49,03;23138200
ММК;W;10/09/18;000000;49,03;36371300
ММК;W;17/09/18;000000;51,975;49772000
ММК;W;24/09/18;000000;52,185;29736500
ММК;W;01/10/18;000000;51,8;33463100
ММК;W;08/10/18;000000;49,065;42000900
ММК;W;15/10/18;000000;47,955;31669800
ММК;W;22/10/18;000000;46,87;46610400
ММК;W;29/10/18;000000;47,5;28982500
ММК;W;05/11/18;000000;47,81;59661200
ММК;W;12/11/18;000000;47,205;26447400
ММК;W;19/11/18;000000;46,1;47025300
ММК;W;26/11/18;000000;46,805;58874600
ММК;W;03/12/18;000000;47;67535000
ММК;W;10/12/18;000000;46,725;51997400
ММК;W;17/12/18;000000;42,95;59132800
ММК;W;24/12/18;000000;43,04;24430100
ММК;W;31/12/18;000000;43,365;9230100
ММК;W;07/01/19;000000;45,6;35831400
ММК;W;14/01/19;000000;44,38;48953300
ММК;W;21/01/19;000000;44,995;37183000
ММК;W;28/01/19;000000;43,73;47561300
ММК;W;04/02/19;000000;43,31;35772300
ММК;W;11/02/19;000000;43,185;55675800
ММК;W;18/02/19;000000;43,8;30793100
ММК;W;25/02/19;000000;44,09;55312300
ММК;W;04/03/19;000000;43,5;13701900
ММК;W;11/03/19;000000;45,3;63518000
ММК;W;18/03/19;000000;44,74;36770000
ММК;W;25/03/19;000000;45,9;25391100
ММК;W;01/04/19;000000;44,84;21970700
ММК;W;08/04/19;000000;44,46;25219500
ММК;W;15/04/19;000000;44,22;14983400
ММК;W;22/04/19;000000;44,5;12803700
ММК;W;29/04/19;000000;45,25;21194200
ММК;W;06/05/19;000000;43,165;32039400
ММК;W;13/05/19;000000;42,925;26146400
ММК;W;20/05/19;000000;43,9;34306500
ММК;W;27/05/19;000000;44,655;38959600
ММК;W;03/06/19;000000;45,6;41411600
ММК;W;10/06/19;000000;46,645;43096200
ММК;W;17/06/19;000000;44,68;54634600
ММК;W;24/06/19;000000;44,985;30691700
ММК;W;01/07/19;000000;44,625;48122000
ММК;W;08/07/19;000000;44,42;29717500
ММК;W;15/07/19;000000;44,485;30811800
ММК;W;22/07/19;000000;43,51;23365400
ММК;W;29/07/19;000000;40,34;63097900
ММК;W;05/08/19;000000;40,33;63072500
ММК;W;12/08/19;000000;38,375;59935300
ММК;W;19/08/19;000000;38,9;42739600
ММК;W;26/08/19;000000;41,84;54257200
ММК;W;02/09/19;000000;41,42;41399800
ММК;W;09/09/19;000000;41,315;48919500
ММК;W;16/09/19;000000;40,56;37184100
ММК;W;23/09/19;000000;39,2;35379100
ММК;W;30/09/19;000000;37;62033700
ММК;W;07/10/19;000000;37,61;55883200
ММК;W;14/10/19;000000;36,565;52968400
ММК;W;21/10/19;000000;35,55;50121600
ММК;W;28/10/19;000000;37,07;66450800
ММК;W;04/11/19;000000;38,595;50215200
ММК;W;11/11/19;000000;37,975;67054100
ММК;W;18/11/19;000000;38,25;41871800
ММК;W;25/11/19;000000;38,985;55227200
ММК;W;02/12/19;000000;39,06;62672000
ММК;W;09/12/19;000000;41,6;80357700
ММК;W;16/12/19;000000;40,8;63842900
ММК;W;23/12/19;000000;42,125;25475800
ММК;W;30/12/19;000000;42,545;15389400
ММК;W;06/01/20;000000;43,345;45816400
ММК;W;13/01/20;000000;47,09;128641500
ММК;W;20/01/20;000000;45,35;83522000
ММК;W;27/01/20;000000;44,91;58516200
ММК;W;03/02/20;000000;45,13;119603700
ММК;W;10/02/20;000000;45,695;81935300
ММК;W;17/02/20;000000;44,9;44572100
ММК;W;24/02/20;000000;39,985;97723500
ММК;W;02/03/20;000000;38,415;97021200
ММК;W;09/03/20;000000;34,96;101839200
ММК;W;16/03/20;000000;33,955;128953700
ММК;W;23/03/20;000000;35,75;105997100
ММК;W;30/03/20;000000;37,92;108789800
ММК;W;06/04/20;000000;39,85;65536000
ММК;W;13/04/20;000000;38,73;53235700
ММК;W;20/04/20;000000;39,125;56785800
ММК;W;27/04/20;000000;40,26;79330500
ММК;W;04/05/20;000000;38,1;61431300
ММК;W;11/05/20;000000;37,005;48742700
ММК;W;18/05/20;000000;38,165;54720200
ММК;W;25/05/20;000000;40,44;101288500
ММК;W;01/06/20;000000;42,505;54393400
ММК;W;08/06/20;000000;41,08;51816000
ММК;W;15/06/20;000000;39,83;83792000
ММК;W;22/06/20;000000;37,71;69637500
ММК;W;29/06/20;000000;37,95;64739100
ММК;W;06/07/20;000000;38,64;63377400
ММК;W;13/07/20;000000;38,1;72013100
ММК;W;20/07/20;000000;39,16;65060800
ММК;W;27/07/20;000000;39,96;103433200
ММК;W;03/08/20;000000;39,615;62909200
ММК;W;10/08/20;000000;39,915;81920200
ММК;W;17/08/20;000000;39,665;66597400
ММК;W;24/08/20;000000;38,6;44987300
ММК;W;31/08/20;000000;37,195;94976300
ММК;W;07/09/20;000000;37,44;110744500
ММК;W;14/09/20;000000;39,61;110400000
ММК;W;21/09/20;000000;38,4;131865200
ММК;W;28/09/20;000000;38,3;63640400
ММК;W;05/10/20;000000;35,86;125891300
ММК;W;12/10/20;000000;34,925;106981100
ММК;W;19/10/20;000000;37,27;118209000
ММК;W;26/10/20;000000;37,19;133610300
ММК;W;02/11/20;000000;39,04;150048300
ММК;W;09/11/20;000000;41,66;283341100
ММК;W;16/11/20;000000;41,78;142415000
ММК;W;23/11/20;000000;42,85;111451100
ММК;W;30/11/20;000000;44,84;513170830
ММК;W;07/12/20;000000;48,83;280256820
ММК;W;14/12/20;000000;52,5;240016950
ММК;W;21/12/20;000000;57,945;196156300
ММК;W;28/12/20;000000;55,835;170099300
