<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	31.07.2017	0	119,45	129809910		Распадская	W	31.07.2017	0	74,92	13588670		НЛМК ао	W	31.07.2017	0	128,75	19332300
ГАЗПРОМ ао	W	07.08.2017	0	116,93	100135830		Распадская	W	07.08.2017	0	78,87	18428700		НЛМК ао	W	07.08.2017	0	133,3	25582000
ГАЗПРОМ ао	W	14.08.2017	0	116	88384780		Распадская	W	14.08.2017	0	78,75	10526890		НЛМК ао	W	14.08.2017	0	127,49	17857040
ГАЗПРОМ ао	W	21.08.2017	0	117,85	95083560		Распадская	W	21.08.2017	0	86,98	16603090		НЛМК ао	W	21.08.2017	0	127,64	17251830
ГАЗПРОМ ао	W	28.08.2017	0	117,4	139699690		Распадская	W	28.08.2017	0	86	22283520		НЛМК ао	W	28.08.2017	0	136,83	22289850
ГАЗПРОМ ао	W	04.09.2017	0	120,34	146185880		Распадская	W	04.09.2017	0	85,1	10289070		НЛМК ао	W	04.09.2017	0	131,4	20305590
ГАЗПРОМ ао	W	11.09.2017	0	122,5	190180430		Распадская	W	11.09.2017	0	87,42	10811340		НЛМК ао	W	11.09.2017	0	130,83	16911530
ГАЗПРОМ ао	W	18.09.2017	0	121,95	139629020		Распадская	W	18.09.2017	0	83,09	14171810		НЛМК ао	W	18.09.2017	0	128,65	17580540
ГАЗПРОМ ао	W	25.09.2017	0	122,2	116424980		Распадская	W	25.09.2017	0	81,98	12150440		НЛМК ао	W	25.09.2017	0	132,29	12694700
ГАЗПРОМ ао	W	02.10.2017	0	123,47	135673990		Распадская	W	02.10.2017	0	82,17	6517870		НЛМК ао	W	02.10.2017	0	137,97	13931920
ГАЗПРОМ ао	W	09.10.2017	0	126,86	114284840		Распадская	W	09.10.2017	0	85,5	10993990		НЛМК ао	W	09.10.2017	0	133	20871750
ГАЗПРОМ ао	W	16.10.2017	0	126,7	125325420		Распадская	W	16.10.2017	0	88,77	17215130		НЛМК ао	W	16.10.2017	0	130,75	16908880
ГАЗПРОМ ао	W	23.10.2017	0	125,94	105252040		Распадская	W	23.10.2017	0	92,7	22414810		НЛМК ао	W	23.10.2017	0	135,25	17904540
ГАЗПРОМ ао	W	30.10.2017	0	125,9	87580060		Распадская	W	30.10.2017	0	89,44	17021730		НЛМК ао	W	30.10.2017	0	131,46	16289440
ГАЗПРОМ ао	W	06.11.2017	0	132,5	202732220		Распадская	W	06.11.2017	0	87,65	7429570		НЛМК ао	W	06.11.2017	0	130,83	16462780
ГАЗПРОМ ао	W	13.11.2017	0	129,65	155256080		Распадская	W	13.11.2017	0	85,59	10657510		НЛМК ао	W	13.11.2017	0	132,38	15609600
ГАЗПРОМ ао	W	20.11.2017	0	133,57	134560960		Распадская	W	20.11.2017	0	88,95	9292850		НЛМК ао	W	20.11.2017	0	132,17	9719550
ГАЗПРОМ ао	W	27.11.2017	0	133,02	146420560		Распадская	W	27.11.2017	0	86,01	6218140		НЛМК ао	W	27.11.2017	0	130,22	21717040
ГАЗПРОМ ао	W	04.12.2017	0	132,6	79381910		Распадская	W	04.12.2017	0	87,48	13241830		НЛМК ао	W	04.12.2017	0	138,86	19869660
ГАЗПРОМ ао	W	11.12.2017	0	135,5	118869750		Распадская	W	11.12.2017	0	88,62	8038180		НЛМК ао	W	11.12.2017	0	141,95	16687880
ГАЗПРОМ ао	W	18.12.2017	0	132,42	127324820		Распадская	W	18.12.2017	0	85,8	8355490		НЛМК ао	W	18.12.2017	0	146,5	11637520
ГАЗПРОМ ао	W	25.12.2017	0	130,5	66979380		Распадская	W	25.12.2017	0	89,01	5910170		НЛМК ао	W	25.12.2017	0	147,22	9573960
ГАЗПРОМ ао	W	01.01.2018	0	137,12	62611590		Распадская	W	01.01.2018	0	99	8396150		НЛМК ао	W	01.01.2018	0	146,46	11951540
ГАЗПРОМ ао	W	08.01.2018	0	143,99	179625390		Распадская	W	08.01.2018	0	98,01	8226270		НЛМК ао	W	08.01.2018	0	153,59	12521530
ГАЗПРОМ ао	W	15.01.2018	0	149,13	224093470		Распадская	W	15.01.2018	0	103,5	13345420		НЛМК ао	W	15.01.2018	0	154,95	16511550
